ID,html_url,bug_categories,root_cause,fault_location
MYSENSORS/910,https://github.com/mysensors/MySensors/issues/910,Build and installation issues,SWP,hardware
HOMIE-ESP8266/22,https://github.com/homieiot/homie-esp8266/issues/22,Build and installation issues,DEP,hardware
BLYNK-SERVER/1305,https://github.com/blynkkk/blynk-server/issues/1305,"Device properties status issues, Device connection status issues",DEP,cloud
MYSENSORS/1038,https://github.com/mysensors/MySensors/issues/1038,"Device constraint issues, Device properties status issues",SWP,hardware
IOT-EDGE-V1/474,https://github.com/Azure/iot-edge-v1/issues/474,"Message delivery issues, Message timing/rate/order issues",TM,middleware
OPENHAB-IOS/524,https://github.com/openhab/openhab-ios/issues/524,"Device properties status issues, UI/usability issues",SWP,application: ios 
DEVKIT-SDK/296,https://github.com/microsoft/devkit-sdk/issues/296,Device properties status issues,SWP,cloud
DEVICE-OS/1926,https://github.com/particle-iot/device-os/issues/1926,Device constraint issues,MEM,hardware
HAWKBIT/912,https://github.com/eclipse/hawkbit/pull/912,UI/usability issues,SWP,middleware
HAWKBIT/828,https://github.com/eclipse/hawkbit/pull/828,Device registration and provisioning issues,CON,middleware
DEVKIT-SDK/716,https://github.com/microsoft/devkit-sdk/issues/716,"Message delivery issues, Network reset/mode-change issues",MEM,hardware
DEVICE-OS/1308,https://github.com/particle-iot/device-os/pull/1308,Message delivery issues,SEM,hardware 
DEVKIT-SDK/742,https://github.com/microsoft/devkit-sdk/issues/742,Build and installation issues,DEP,hardware
AZURE-IOT-SDK-C/445,https://github.com/Azure/azure-iot-sdk-c/issues/445,"Device registration and provisioning issues, Auth issues",CNF,hardware
DEVICE-OS/1236,https://github.com/particle-iot/device-os/pull/1236,"Message delivery issues, Message payload issues",SWP,hardware 
GLADYS/218,https://github.com/GladysAssistant/Gladys/issues/218,UI/usability issues,SWP,application
ZMNINJA/451,https://github.com/pliablepixels/zmNinja/issues/451,Message payload issues,EC,cloud
DEVKIT-SDK/147,https://github.com/microsoft/devkit-sdk/issues/147,Build and installation issues,DEP,hardware
KUBEEDGE/257,https://github.com/kubeedge/kubeedge/issues/257,Device properties status issues,TM,cloud
SHADOWNODE/499,https://github.com/yodaos-project/ShadowNode/issues/499,Message delivery issues,SEM,hardware:device
TUYAPI/176,https://github.com/codetheweb/tuyapi/issues/176,Message payload issues,TM,cloud
ZMNINJA/681,https://github.com/pliablepixels/zmNinja/issues/681,Third-party incompatibility issues,CNF,cloud
NODE-TRADFRI-CLIENT/101,https://github.com/AlCalzone/node-tradfri-client/issues/101,"Protocol incompatibility issues, Device discovery and identification issues",SEM,middleware:gateway
AMAZON-DASH/132,https://github.com/Nekmo/amazon-dash/issues/132,"Network discovery/set-up issues, Boot/reboot or physical issues",TM,application
MYSENSORS/928,https://github.com/mysensors/MySensors/issues/928,"Message payload issues, Device incompatibility issues, Device binding/association/ pairing issues",TM, hardware
BLYNK-SERVER/1348,https://github.com/blynkkk/blynk-server/issues/1348,"Auth issues, UI/usability issues",SWP,cloud
AZURE-IOT-SDK-C/481,https://github.com/Azure/azure-iot-sdk-c/issues/481,"Device discovery and identification issues, Message payload issues",SEM,cloud
ZMNINJA/256,https://github.com/pliablepixels/zmNinja/issues/256,UI/usability issues,SWP,application
AZURE-IOT-SDK-C/688,https://github.com/Azure/azure-iot-sdk-c/issues/688,"Message delivery issues, Disconnetion issues, Reconnection issues",TM,cloud 
VOR/12,https://github.com/futurice/vor/issues/12,UI/usability issues,SWP,application
HOMIE-ESP8266/309,https://github.com/homieiot/homie-esp8266/issues/309,Message payload issues,SWP,hardware
HOMIE-ESP8266/278,https://github.com/homieiot/homie-esp8266/issues/278,"Third-party issues, Build and installation issues",DEP,hardware
OPENHAB-CORE/985,https://github.com/openhab/openhab-core/issues/985,Device properties status issues,SWP,cloud
PARTICLE-CLI/154,https://github.com/particle-iot/particle-cli/issues/154,Build and installation issues,CNF,middleware 
OPENHAB-CORE/1376,https://github.com/openhab/openhab-core/pull/1376,Rule action execution issues,SWP,cloud
HOMIE-ESP8266/40,https://github.com/homieiot/homie-esp8266/issues/40,"Device properties status issues, Device registration and provisioning issues",SEM,hardware
IOTAGENT-NODE-LIB/17,https://github.com/telefonicaid/iotagent-node-lib/issues/17,Device discovery and identification issues,CNF,cloud
DEVICE-OS/1233,https://github.com/particle-iot/device-os/issues/1233,Connection establishment issues,DEP,hardware
LIGHTWEIGHTM2M-IOTAGENT/109,https://github.com/telefonicaid/lightweightm2m-iotagent/issues/109,Firmware update issues,EC,middleware
DEVICE-OS/1871,https://github.com/particle-iot/device-os/pull/1871,"Device constraint issues, Boot/reboot or physical issues, Message delivery issues, Device properties status issues",HWP,hardware 
IOTAGENT-JSON/194,https://github.com/telefonicaid/iotagent-json/issues/194,Device properties status issues,SWP,middleware
ZMNINJA/766,https://github.com/pliablepixels/zmNinja/issues/766,UI/usability issues,SWP,application
AZURE-IOT-SDK-C/815,https://github.com/Azure/azure-iot-sdk-c/issues/815,"Protocol incompatibility issues, Device registration and provisioning issues, Message payload issues",CON,hardware
BLYNK-LIBRARY/217,https://github.com/blynkkk/blynk-library/issues/217,Device properties status issues,DEP,application
AZURE-IOT-SDK-C/750,https://github.com/Azure/azure-iot-sdk-c/issues/750,"Protocol incompatibility issues, Device properties status issues, Device connection status issues",SEM,hardware
LELYLAN/88,https://github.com/lelylan/lelylan/issues/88,Device binding/association/ pairing issues,EC,cloud
VOR/27,https://github.com/futurice/vor/issues/27,UI/usability issues,SWP,application 
ZMNINJA/273,https://github.com/pliablepixels/zmNinja/issues/273,"Auth issues, Connection establishment issues",DEP,cloud
ARDUINO-MQTT/135,https://github.com/256dpi/arduino-mqtt/issues/135,"Protocol incompatibility issues, Connection establishment issues",DEP,hardware
MYSENSORS/1388,https://github.com/mysensors/MySensors/pull/1388,Message delivery issues,SWP,middleware
DEVICE-OS/1855,https://github.com/particle-iot/device-os/issues/1855,"Firmware update issues, Device properties status issues",TM,hardware
AZURE-IOT-SDK-C/213,https://github.com/Azure/azure-iot-sdk-c/issues/213,"Reconnection issues, Protocol incompatibility issues",CNF,hardware 
KUBEEDGE/1010,https://github.com/kubeedge/kubeedge/issues/1010,Build and installation issues,CON,middleware
KURA/2214,https://github.com/eclipse/kura/pull/2214,Build and installation issues,SWP,middleware
DEVICE-OS/1482,https://github.com/particle-iot/device-os/issues/1482,Disconnetion issues,CON,hardware
DEVICE-OS/1640,https://github.com/particle-iot/device-os/pull/1640,performance/crash issues,MEM,hardware
HOMIE-ESP8266/641,https://github.com/homieiot/homie-esp8266/issues/641,"Firmware update issues, Build and installation issues",DEP,hardware 
MYSENSORS/1334,https://github.com/mysensors/MySensors/issues/1334,"Device incompatibility issues, performance/crash issues, Firmware exception/hang issues",DEP,hardware
DEVICE-OS/1336,https://github.com/particle-iot/device-os/pull/1336,"Message timing/rate/order issues, Message delivery issues",CON,hardware 
HOMIE-ESP8266/48,https://github.com/homieiot/homie-esp8266/issues/48,"Third-party issues, UI/usability issues",DEP,hardware
YODA.JS/780,https://github.com/yodaos-project/yoda.js/issues/780,UI/usability issues,SWP,application
DEVICE-OS/1911,https://github.com/particle-iot/device-os/pull/1911,"Device connection status issues, Connection establishment issues, Device incompatibility issues",TM,hardware
PEDALINOMINI/34,https://github.com/alf45tar/PedalinoMini/issues/34,Boot/reboot or physical issues,EC,hardware
ZMNINJA/759,https://github.com/pliablepixels/zmNinja/issues/759,UI/usability issues,SWP,application
NEEO-SDK/164,https://github.com/NEEOInc/neeo-sdk/issues/164,"Third-party issues, Build and installation issues",DEP,application 
KUBEEDGE/555,https://github.com/kubeedge/kubeedge/pull/555,Device discovery and identification issues,SWP,middleware 
ZMNINJA/54,https://github.com/pliablepixels/zmNinja/issues/54,UI/usability issues,SWP,application
AZURE-IOT-SDK-C/507,https://github.com/Azure/azure-iot-sdk-c/issues/507,Message timing/rate/order issues,SWP,middleware
MCS-LITE-APP/56,https://github.com/MCS-Lite/mcs-lite-app/pull/56,UI/usability issues,SWP,application
BLYNK-SERVER/1226,https://github.com/blynkkk/blynk-server/issues/1226,performance/crash issues,SWP,cloud
DEVICE-OS/1970,https://github.com/particle-iot/device-os/pull/1970,Firmware exception/hang issues,CON,hardware
DEVICE-OS/1548,https://github.com/particle-iot/device-os/issues/1548,"Device constraint issues, Disconnetion issues",TM,hardware
IOT-EDGE-V1/275,https://github.com/Azure/iot-edge-v1/issues/275,Device binding/association/ pairing issues,MEM,middleware
KUBEEDGE/879,https://github.com/kubeedge/kubeedge/pull/879,Build and installation issues,CNF,middleware
ZMNINJA/244,https://github.com/pliablepixels/zmNinja/issues/244,Auth issues,SWP,cloud
GLADYS/390,https://github.com/GladysAssistant/Gladys/issues/390,Build and installation issues,EC,application
ZMNINJA/459,https://github.com/pliablepixels/zmNinja/issues/459,Auth issues,SWP,cloud
IOTAGENT-UL/42,https://github.com/telefonicaid/iotagent-ul/issues/42,"Device registration and provisioning issues, Device discovery and identification issues, Device properties status issues",CNF,middleware
GLADYS/198,https://github.com/GladysAssistant/Gladys/issues/198,"Auth issues, Build and installation issues",CNF,application
DEVICE-OS/1608,https://github.com/particle-iot/device-os/pull/1608,"Third-party issues, Reconnection issues, Disconnetion issues, Firmware exception/hang issues",CON,hardware
ZMNINJA/689,https://github.com/pliablepixels/zmNinja/issues/689,Auth issues,CNF,cloud
GROW-IOT/72,https://github.com/CommonGarden/Grow-IoT/issues/72,UI/usability issues,SWP,application
OPENHAB-CORE/821,https://github.com/openhab/openhab-core/issues/821,"Build and installation issues, Third-party issues",SEM,cloud
HOMIE-ESP8266/575,https://github.com/homieiot/homie-esp8266/issues/575,"Firmware update issues, Disconnetion issues, Boot/reboot or physical issues",HWP,hardware
KUBEEDGE/1499,https://github.com/kubeedge/kubeedge/issues/1499,"Message delivery issues, Message payload issues",SWP,"cloud, edge"
DEVICE-OS/1283,https://github.com/particle-iot/device-os/pull/1283,Build and installation issues,DEP,hardware
OCTOPRINT-ASTROPRINT/18,https://github.com/AstroPrint/OctoPrint-AstroPrint/issues/18,Message payload issues,EC,middleware
ZWAVE2MQTT/181,https://github.com/OpenZWave/Zwave2Mqtt/issues/181,"Device constraint issues, Firmware update issues, UI/usability issues",DEP,middleware 
ZMNINJA/901,https://github.com/pliablepixels/zmNinja/issues/901,"UI/usability issues, performance/crash issues",SWP,application
HOOBS/395,https://github.com/hoobs-org/HOOBS/issues/395,Auth issues,CNF,hardware
GLADYS/413,https://github.com/GladysAssistant/Gladys/issues/413,Device discovery and identification issues,SWP,cloud 
DEVICE-OS/261,https://github.com/particle-iot/device-os/issues/261,"Device properties status issues, Message timing/rate/order issues",SWP,cloud
NODEMANAGER/198,https://github.com/mysensors/NodeManager/issues/198,"Device registration and provisioning issues, Device binding/association/ pairing issues",SEM,cloud
KAPUA/2419,https://github.com/eclipse/kapua/issues/2419,"Auth issues, UI/usability issues",SWP,middleware
IDEAM/13,https://github.com/rbccps-iisc/ideam/issues/13,Build and installation issues,CNF,hardware
VITOWIFI/3,https://github.com/bertmelis/VitoWiFi/issues/3,"performance/crash issues, Device incompatibility issues, Third-party incompatibility issues",DEP,middleware
DEVICE-OS/1661,https://github.com/particle-iot/device-os/pull/1661,Firmware exception/hang issues,CON,hardware
GLADYS/169,https://github.com/GladysAssistant/Gladys/issues/169,"Auth issues, UI/usability issues",SWP,cloud 
ZMNINJA/264,https://github.com/pliablepixels/zmNinja/issues/264,Auth issues,SWP,application
KUBEEDGE/551,https://github.com/kubeedge/kubeedge/pull/551,Build and installation issues,DEP,middleware
DEVKIT-SDK/536,https://github.com/microsoft/devkit-sdk/issues/536,Firmware update issues,CNF,hardware
IOTAGENT-JSON/53,https://github.com/telefonicaid/iotagent-json/issues/53,"Message delivery issues, Reconnection issues",SWP,middleware
OCTOPRINT-ASTROPRINT/26,https://github.com/AstroPrint/OctoPrint-AstroPrint/issues/26,Auth issues,SWP,application
DEVICEHIVE-JAVA-SERVER/145,https://github.com/devicehive/devicehive-java-server/issues/145,"Device properties status issues, Message timing/rate/order issues, Message payload issues",TM,cloud
YODA.JS/780,https://github.com/yodaos-project/yoda.js/issues/780,UI/usability issues,SWP,application
DEVKIT-SDK/745,https://github.com/microsoft/devkit-sdk/issues/745,Build and installation issues,CNF,hardware
BLYNK-SERVER/1221,https://github.com/blynkkk/blynk-server/issues/1221,UI/usability issues,SWP,application 
DEVICE-OS/1976,https://github.com/particle-iot/device-os/pull/1976,"Connection establishment issues, Network discovery/set-up issues, Device configuration issues",SWP,hardware
ZWAVE2MQTT/96,https://github.com/OpenZWave/Zwave2Mqtt/issues/96,Device properties status issues,SWP,middleware
OPENHAB-IOS/101,https://github.com/openhab/openhab-ios/issues/101,UI/usability issues,SWP,application
HOMIE-ESP8266/242,https://github.com/homieiot/homie-esp8266/issues/242,"Disconnetion issues, Device connection status issues, Device constraint issues",TM,hardware
OPENHAB-CORE/493,https://github.com/openhab/openhab-core/pull/493,"Device properties status issues, Boot/reboot or physical issues",SWP,cloud
GLADYS/571,https://github.com/GladysAssistant/Gladys/issues/571,"UI/usability issues, Device registration and provisioning issues",EC,application
MYSENSORS/949,https://github.com/mysensors/MySensors/issues/949,Message delivery issues,HWP,hardware 
ZWAVE2MQTT/203,https://github.com/OpenZWave/Zwave2Mqtt/issues/203,"Protocol incompatibility issues, Device discovery and identification issues",CNF,middleware
AZURE-IOT-SDK-C/556,https://github.com/Azure/azure-iot-sdk-c/issues/556,Firmware exception/hang issues,HWP,hardware
SMARTHOME/135,https://github.com/smarthomeNG/smarthome/issues/135,Message payload issues,SWP,cloud
IOT-JAVA/180,https://github.com/ibm-watson-iot/iot-java/issues/180,"Connection establishment issues, Device connection status issues",SWP,application
ZMNINJA/459,https://github.com/pliablepixels/zmNinja/issues/459,Auth issues,SWP,cloud 
CASANET-SERVER/7,https://github.com/casanet/casanet-server/issues/7,"Auth issues, Disconnetion issues",CNF,cloud
PARTICLE-CLI/129,https://github.com/particle-iot/particle-cli/issues/129,Build and installation issues,EC,hardware 
OPENHAB-IOS/514,https://github.com/openhab/openhab-ios/issues/514,UI/usability issues,SWP,application
DEVICE-OS/1604,https://github.com/particle-iot/device-os/pull/1604,"Auth issues, Message payload issues",EC,hardware
IOTEDGEDEV/198,https://github.com/Azure/iotedgedev/issues/198,"Auth issues, Build and installation issues",CNF,middleware
IOTEDGEDEV/44,https://github.com/Azure/iotedgedev/issues/44,Build and installation issues,DEP,middleware
DEVKIT-SDK/757,https://github.com/microsoft/devkit-sdk/issues/757,performance/crash issues,EC,hardware
DEVICE-OS/2019,https://github.com/particle-iot/device-os/pull/2019,"Message payload issues, Device incompatibility issues",DEP,hardware
SMARTHOME/184,https://github.com/smarthomeNG/smarthome/issues/184,Message payload issues,SEM,cloud
SITEWHERE/378,https://github.com/sitewhere/sitewhere/issues/378,dev2,EC,  cloud      
HONO/1626,https://github.com/eclipse/hono/pull/1626,"Connection establishment issues, Disconnetion issues, Device connection status issues",SWP,cloud        
YODA.JS/125,https://github.com/yodaos-project/yoda.js/issues/125,UI/usability issues,CNF,application        
KAPUA/2339,https://github.com/eclipse/kapua/issues/2339,"Auth issues, UI/usability issues",SEM, middleware       
SMARTHOME/3186,https://github.com/eclipse/smarthome/issues/3186,Build and installation issues,DEP,cloud        
KUBEEDGE/644,https://github.com/kubeedge/kubeedge/pull/644,Device discovery and identification issues,SWP,middleware        
MYSENSORS/855,https://github.com/mysensors/MySensors/pull/855,Build and installation issues,HWP,hardware        
NEEO-SDK/23,https://github.com/NEEOInc/neeo-sdk/issues/23,Device discovery and identification issues,EC,cloud        
CASANET-SERVER/37,https://github.com/casanet/casanet-server/issues/37,UI/usability issues,SWP,application        
SMARTHOME/5533,https://github.com/eclipse/smarthome/issues/5533,performance/crash issues,SEM,cloud        
ZWAVE2MQTT/83,https://github.com/OpenZWave/Zwave2Mqtt/issues/83,Device configuration issues,SWP,middleware        
KURA/1812,https://github.com/eclipse/kura/issues/1812,UI/usability issues,SWP,middleware        
KAPUA/2110,https://github.com/eclipse/kapua/issues/2110,UI/usability issues,SWP,application        
SMARTHOME/3746,https://github.com/eclipse/smarthome/pull/3746,Rule action execution issues,CON,cloud        
KAPUA/2471,https://github.com/eclipse/kapua/issues/2471,"Auth issues, UI/usability issues",SEM,middleware        
DEVICE-OS/682,https://github.com/particle-iot/device-os/issues/682,Message payload issues,HWP, hardware       
KUBEEDGE/1138,https://github.com/kubeedge/kubeedge/issues/1138,"Auth issues, Device discovery and identification issues, Device properties status issues",CNF,middleware        
HONO/1205,https://github.com/eclipse/hono/issues/1205,performance/crash issues,CNF,cloud        
ZMNINJA/827,https://github.com/pliablepixels/zmNinja/issues/827,UI/usability issues,EC,application        
SMARTHOME/2883,https://github.com/eclipse/smarthome/issues/2883,UI/usability issues,SWP,application        
SMARTHOME/4732,https://github.com/eclipse/smarthome/issues/4732,"Auth issues, UI/usability issues",SWP,cloud        
KUBEEDGE/1386,https://github.com/kubeedge/kubeedge/pull/1386,Message payload issues,EC,  middleware      
ZMNINJA/903,https://github.com/pliablepixels/zmNinja/issues/903,UI/usability issues,SWP, application       
KAPUA/2826,https://github.com/eclipse/kapua/issues/2826,Build and installation issues,DEP, application       
SMARTHOME/2911,https://github.com/eclipse/smarthome/issues/2911,"Device properties status issues, UI/usability issues",SEM,cloud        
PEDALINOMINI/53,https://github.com/alf45tar/PedalinoMini/issues/53,"Protocol incompatibility issues, Message delivery issues, Network reset/mode-change issues",SEM, hardware       
HOMIE-ESP8266/155,https://github.com/homieiot/homie-esp8266/issues/155,"Protocol incompatibility issues, Message payload issues, Device discovery and identification issues",DEP, cloud       
SMARTHOME/610,https://github.com/eclipse/smarthome/issues/610,"Rule action execution issues, Device properties status issues",CON,cloud        
SMARTHOME/3678,https://github.com/eclipse/smarthome/issues/3678,Device discovery and identification issues,CNF,cloud        
KAPUA/2746,https://github.com/eclipse/kapua/pull/2746,Message payload issues,SWP,cloud        
SITEWHERE/503,https://github.com/sitewhere/sitewhere/issues/503,Auth issues,SWP,cloud        
SMARTHOME/3050,https://github.com/eclipse/smarthome/issues/3050,"Rule condition issues, Rule trigger issues, UI/usability issues",SWP,cloud        
KURA/2658,https://github.com/eclipse/kura/issues/2658,UI/usability issues,SWP,middleware        
DEVICE-OS/280,https://github.com/particle-iot/device-os/issues/280,UI/usability issues,TM,application        
BLYNK-SERVER/1114,https://github.com/blynkkk/blynk-server/issues/1114,Device properties status issues,TM,cloud        
DEVKIT-SDK/758,https://github.com/microsoft/devkit-sdk/issues/758,Build and installation issues,SWP,hardware        
ZWAVE2MQTT/141,https://github.com/OpenZWave/Zwave2Mqtt/issues/141,"Third-party issues, Device constraint issues",MEM, middleware       
SMARTHOME/5696,https://github.com/eclipse/smarthome/pull/5696,UI/usability issues,SWP, cloud       
SMARTHOME/1943,https://github.com/eclipse/smarthome/issues/1943,"Device discovery and identification issues, Protocol incompatibility issues",SEM,"cloud,application"
SMARTHOME/2849,https://github.com/eclipse/smarthome/issues/2849,"Rule condition issues, UI/usability issues, Device properties status issues",SEM,cloud
HAWKBIT/256,https://github.com/eclipse/hawkbit/issues/256,Build and installation issues,DEP,middleware
SMARTHOME/3832,https://github.com/eclipse/smarthome/pull/3832,Rule action execution issues,SWP0,cloud
SMARTHOME/5578,https://github.com/eclipse/smarthome/issues/5578,"Rule trigger issues, Device properties status issues",SWP0,3
BLYNK-SERVER/1183,https://github.com/blynkkk/blynk-server/issues/1183,Message delivery issues,SWP,cloud
NODEMANAGER/38,https://github.com/mysensors/NodeManager/issues/38,Device properties status issues,SWP,cloud
KUBEEDGE/440,https://github.com/kubeedge/kubeedge/issues/440,"Build and installation issues, Connection establishment issues",CNF,middleware
HONO/248,https://github.com/eclipse/hono/issues/248,"Device connection status issues, Disconnetion issues",EC,cloud
NODEL/99,https://github.com/museumsvictoria/nodel/issues/99,Device properties status issues,TM,application
BLYNK-SERVER/1133,https://github.com/blynkkk/blynk-server/issues/1133,"Auth issues, Network discovery/set-up issues",CNF,cloud
DEVKIT-SDK/765,https://github.com/microsoft/devkit-sdk/issues/765,"Build and installation issues, Device discovery and identification issues",DEP,cloud
KAPUA/2735,https://github.com/eclipse/kapua/pull/2735,"Device discovery and identification issues, UI/usability issues",EC,cloud
ZWAVE2MQTT/90,https://github.com/OpenZWave/Zwave2Mqtt/issues/90,"Third-party issues, Device properties status issues, Build and installation issues, Device discovery and identification issues, Firmware update issues, Device configuration issues",CNF,middleware
BLYNK-SERVER/1244,https://github.com/blynkkk/blynk-server/issues/1244,UI/usability issues,SWP,application
DEVICE-OS/1346,https://github.com/particle-iot/device-os/pull/1346,"Connection establishment issues, Network discovery/set-up issues",CON,hardware
ZMNINJA/113,https://github.com/pliablepixels/zmNinja/issues/113,UI/usability issues,SWP,application
ZWAVE2MQTT/88,https://github.com/OpenZWave/Zwave2Mqtt/issues/88,"Message delivery issues, Device properties status issues, Device discovery and identification issues",SWP,middleware
ZWAVE2MQTT/186,https://github.com/OpenZWave/Zwave2Mqtt/issues/186,"Device properties status issues, Message payload issues",EC,cloud
AZURE-IOT-SDK-C/775,https://github.com/Azure/azure-iot-sdk-c/issues/775,"Message delivery issues, Reconnection issues",SEM,cloud
SMARTHOME/3087,https://github.com/eclipse/smarthome/issues/3087,UI/usability issues,SWP,application
BLYNK-SERVER/487,https://github.com/blynkkk/blynk-server/issues/487,UI/usability issues,SWP,application
KUBEEDGE/540,https://github.com/kubeedge/kubeedge/pull/540,Protocol incompatibility issues,EC,middleware
KUBEEDGE/292,https://github.com/kubeedge/kubeedge/issues/292,Build and installation issues,DEP,middleware
ZMNINJA/468,https://github.com/pliablepixels/zmNinja/issues/468,"Auth issues, UI/usability issues",MEM,application
GLADYS/335,https://github.com/GladysAssistant/Gladys/issues/335,UI/usability issues,EC,application
HOMIE-ESP8266/575,https://github.com/homieiot/homie-esp8266/issues/575,"Firmware update issues, Device constraint issues",SEM,hardware
KURA/467,https://github.com/eclipse/kura/issues/467,UI/usability issues,EC,middleware 
YODA.JS/44,https://github.com/yodaos-project/yoda.js/issues/44,Network discovery/set-up issues,CNF,application
ZWAVE2MQTT/87,https://github.com/OpenZWave/Zwave2Mqtt/issues/87,"Device properties status issues, Device binding/association/ pairing issues",SEM,middleware
DEVICE-OS/1696,https://github.com/particle-iot/device-os/pull/1696,"Boot/reboot or physical issues, Connection establishment issues",HWP,hardware 
BLYNK-SERVER/944,https://github.com/blynkkk/blynk-server/issues/944,Connection establishment issues,TM,application
KUBEEDGE/426,https://github.com/kubeedge/kubeedge/issues/426,Disconnetion issues,TM,middleware
DEVICE-OS/1477,https://github.com/particle-iot/device-os/pull/1477,Firmware exception/hang issues,MEM,hardware
BLYNK-SERVER/1103,https://github.com/blynkkk/blynk-server/issues/1103,UI/usability issues,EC,application
DEVICE-OS/1938,https://github.com/particle-iot/device-os/pull/1938,"Connection establishment issues, Device properties status issues",TM,hardware
DEVICE-OS/1017,https://github.com/particle-iot/device-os/issues/1017,Firmware exception/hang issues,HWP,hardware
